,Month,School,Grade,Regular Program,Bilingual Served,Spec. Ed. Served,Male,Female,Non-Binary,Total Student Count,P223 Total Count,P223 Total FTE
8,2021-04,Fairmount Park,3,69.0,8.0,16.0,43.0,49.0,0.0,92.0,92.0,92.0
9,2021-04,Fairmount Park,4,53.0,3.0,17.0,33.0,39.0,0.0,72.0,72.0,72.0
10,2021-04,Fairmount Park,5,85.0,2.0,9.0,44.0,52.0,0.0,96.0,96.0,94.6
5,2021-04,Franklin,9,214.0,59.0,34.0,147.0,146.0,1.0,294.0,294.0,293.88
6,2021-04,Franklin,10,224.0,45.0,30.0,133.0,150.0,1.0,284.0,284.0,283.22
7,2021-04,Franklin,11,219.0,79.0,35.0,146.0,173.0,0.0,319.0,305.0,268.82
8,2021-04,Franklin,12,241.0,73.0,39.0,152.0,184.0,0.0,336.0,313.0,259.26
5,2021-04,Garfield,9,349.0,22.0,39.0,203.0,198.0,4.0,405.0,405.0,405.0
6,2021-04,Garfield,10,351.0,22.0,39.0,202.0,201.0,1.0,404.0,404.0,402.18
7,2021-04,Garfield,11,360.0,32.0,38.0,230.0,190.0,2.0,422.0,395.0,340.02
8,2021-04,Garfield,12,425.0,27.0,32.0,234.0,237.0,1.0,472.0,417.0,347.09
5,2021-04,Gatewood,K,57.0,3.0,0.0,33.0,27.0,0.0,60.0,60.0,60.0
6,2021-04,Gatewood,1,55.0,2.0,6.0,36.0,27.0,0.0,63.0,63.0,63.0
7,2021-04,Gatewood,2,47.0,4.0,4.0,31.0,24.0,0.0,55.0,55.0,55.0
8,2021-04,Gatewood,3,55.0,3.0,4.0,34.0,27.0,1.0,62.0,62.0,62.0
9,2021-04,Gatewood,4,37.0,6.0,14.0,33.0,21.0,1.0,55.0,55.0,55.0
10,2021-04,Gatewood,5,54.0,5.0,11.0,32.0,36.0,0.0,68.0,68.0,68.0
4,2021-04,Gatzert,Preschool,23.0,0.0,9.0,13.0,19.0,0.0,32.0,0.0,0.0
5,2021-04,Gatzert,K,27.0,15.0,6.0,30.0,14.0,0.0,44.0,44.0,44.0
6,2021-04,Gatzert,1,19.0,22.0,4.0,20.0,24.0,0.0,44.0,44.0,44.0
7,2021-04,Gatzert,2,25.0,23.0,9.0,31.0,23.0,0.0,54.0,54.0,54.0
8,2021-04,Gatzert,3,29.0,20.0,9.0,26.0,28.0,0.0,54.0,54.0,54.0
9,2021-04,Gatzert,4,38.0,19.0,9.0,39.0,25.0,0.0,64.0,64.0,64.0
10,2021-04,Gatzert,5,30.0,17.0,7.0,24.0,25.0,0.0,49.0,49.0,49.0
5,2021-04,Genessee Hill,K,70.0,2.0,4.0,34.0,42.0,0.0,76.0,76.0,76.0
6,2021-04,Genessee Hill,1,81.0,5.0,7.0,44.0,48.0,1.0,93.0,93.0,93.0
7,2021-04,Genessee Hill,2,90.0,3.0,8.0,49.0,50.0,0.0,99.0,99.0,99.0
8,2021-04,Genessee Hill,3,91.0,2.0,24.0,59.0,56.0,1.0,116.0,116.0,116.0
9,2021-04,Genessee Hill,4,74.0,2.0,31.0,45.0,62.0,0.0,107.0,107.0,107.0
10,2021-04,Genessee Hill,5,82.0,2.0,22.0,68.0,37.0,0.0,105.0,105.0,105.0
5,2021-04,Graham Hill,K,19.0,18.0,2.0,20.0,18.0,0.0,38.0,38.0,38.0
6,2021-04,Graham Hill,1,34.0,27.0,10.0,42.0,25.0,0.0,67.0,67.0,67.0
7,2021-04,Graham Hill,2,22.0,18.0,1.0,23.0,17.0,0.0,40.0,40.0,40.0
8,2021-04,Graham Hill,3,29.0,22.0,5.0,32.0,22.0,0.0,54.0,54.0,54.0
9,2021-04,Graham Hill,4,32.0,23.0,12.0,31.0,30.0,0.0,61.0,61.0,61.0
10,2021-04,Graham Hill,5,22.0,15.0,8.0,26.0,16.0,0.0,42.0,42.0,42.0
4,2021-04,Green Lake,Preschool,0.0,0.0,3.0,1.0,2.0,0.0,3.0,0.0,0.0
5,2021-04,Green Lake,K,38.0,6.0,6.0,23.0,25.0,0.0,48.0,48.0,48.0
6,2021-04,Green Lake,1,49.0,3.0,3.0,26.0,29.0,0.0,55.0,55.0,55.0
7,2021-04,Green Lake,2,48.0,5.0,8.0,28.0,33.0,0.0,61.0,61.0,61.0
8,2021-04,Green Lake,3,46.0,4.0,6.0,23.0,33.0,0.0,56.0,56.0,56.0
9,2021-04,Green Lake,4,49.0,3.0,9.0,21.0,40.0,0.0,61.0,61.0,61.0
10,2021-04,Green Lake,5,49.0,3.0,6.0,29.0,28.0,0.0,57.0,57.0,57.0
4,2021-04,Greenwood,Preschool,0.0,0.0,18.0,11.0,7.0,0.0,18.0,0.0,0.0
5,2021-04,Greenwood,K,59.0,1.0,3.0,35.0,28.0,0.0,63.0,63.0,63.0
6,2021-04,Greenwood,1,44.0,2.0,0.0,23.0,23.0,0.0,46.0,46.0,46.0
7,2021-04,Greenwood,2,48.0,0.0,5.0,24.0,29.0,0.0,53.0,53.0,53.0
8,2021-04,Greenwood,3,36.0,1.0,6.0,17.0,26.0,0.0,43.0,43.0,43.0
9,2021-04,Greenwood,4,41.0,2.0,8.0,17.0,33.0,0.0,50.0,50.0,50.0
10,2021-04,Greenwood,5,37.0,1.0,4.0,16.0,26.0,0.0,42.0,42.0,42.0
5,2021-04,Hamilton International,6,302.0,7.0,41.0,173.0,173.0,1.0,347.0,347.0,347.0
6,2021-04,Hamilton International,7,309.0,1.0,30.0,179.0,159.0,2.0,340.0,340.0,338.48
7,2021-04,Hamilton International,8,292.0,7.0,42.0,171.0,164.0,3.0,338.0,338.0,333.91
5,2021-04,Hawthorne,K,59.0,4.0,1.0,33.0,30.0,1.0,64.0,64.0,64.0
6,2021-04,Hawthorne,1,53.0,14.0,2.0,41.0,28.0,0.0,69.0,69.0,69.0
7,2021-04,Hawthorne,2,58.0,10.0,4.0,38.0,32.0,2.0,72.0,72.0,72.0
8,2021-04,Hawthorne,3,44.0,17.0,10.0,41.0,25.0,0.0,66.0,66.0,66.0
9,2021-04,Hawthorne,4,48.0,8.0,11.0,27.0,37.0,0.0,64.0,64.0,64.0
10,2021-04,Hawthorne,5,58.0,11.0,10.0,33.0,44.0,0.0,77.0,77.0,77.0
5,2021-04,Hay,K,47.0,6.0,3.0,31.0,24.0,0.0,55.0,55.0,55.0
6,2021-04,Hay,1,48.0,17.0,6.0,36.0,34.0,0.0,70.0,70.0,70.0
7,2021-04,Hay,2,46.0,6.0,9.0,33.0,28.0,0.0,61.0,61.0,61.0
8,2021-04,Hay,3,47.0,7.0,10.0,29.0,35.0,0.0,64.0,64.0,64.0
9,2021-04,Hay,4,34.0,3.0,11.0,15.0,33.0,0.0,48.0,48.0,48.0
10,2021-04,Hay,5,56.0,2.0,11.0,33.0,35.0,0.0,68.0,68.0,68.0
5,2021-04,Hazel Wolf K-8,K,62.0,11.0,2.0,41.0,33.0,0.0,74.0,74.0,74.0
6,2021-04,Hazel Wolf K-8,1,59.0,13.0,9.0,41.0,37.0,0.0,78.0,78.0,78.0
7,2021-04,Hazel Wolf K-8,2,64.0,9.0,3.0,24.0,51.0,1.0,76.0,76.0,76.0
8,2021-04,Hazel Wolf K-8,3,53.0,14.0,10.0,39.0,36.0,0.0,75.0,75.0,75.0
9,2021-04,Hazel Wolf K-8,4,62.0,9.0,13.0,44.0,40.0,0.0,84.0,84.0,84.0
10,2021-04,Hazel Wolf K-8,5,66.0,8.0,10.0,41.0,42.0,0.0,83.0,83.0,83.0
11,2021-04,Hazel Wolf K-8,6,77.0,4.0,10.0,43.0,46.0,1.0,90.0,90.0,90.0
12,2021-04,Hazel Wolf K-8,7,74.0,2.0,17.0,40.0,51.0,1.0,92.0,92.0,91.08
13,2021-04,Hazel Wolf K-8,8,71.0,6.0,13.0,50.0,37.0,0.0,87.0,87.0,86.42
4,2021-04,Highland Park,Preschool,18.0,0.0,1.0,8.0,11.0,0.0,19.0,0.0,0.0
5,2021-04,Highland Park,K,33.0,9.0,2.0,21.0,23.0,0.0,44.0,44.0,44.0
6,2021-04,Highland Park,1,30.0,20.0,2.0,26.0,25.0,0.0,51.0,51.0,51.0
7,2021-04,Highland Park,2,32.0,15.0,8.0,27.0,27.0,0.0,54.0,54.0,54.0
8,2021-04,Highland Park,3,30.0,19.0,4.0,26.0,25.0,0.0,51.0,51.0,51.0
9,2021-04,Highland Park,4,27.0,14.0,12.0,37.0,14.0,1.0,52.0,52.0,52.0
10,2021-04,Highland Park,5,28.0,19.0,8.0,28.0,23.0,0.0,51.0,51.0,51.0
5,2021-04,In Tandem,2 3 4,0.0,1.0,4.0,4.0,0.0,0.0,4.0,4.0,4.0
6,2021-04,In Tandem,5,1.0,0.0,1.0,2.0,0.0,0.0,2.0,2.0,2.0
7,2021-04,In Tandem,6,0.0,0.0,5.0,5.0,0.0,0.0,5.0,5.0,5.0
8,2021-04,In Tandem,7,1.0,0.0,4.0,4.0,1.0,0.0,5.0,5.0,4.8
9,2021-04,In Tandem,8,0.0,0.0,4.0,3.0,1.0,0.0,4.0,4.0,3.76
5,2021-04,Ingraham,9,288.0,29.0,62.0,155.0,213.0,2.0,370.0,370.0,366.7
6,2021-04,Ingraham,10,288.0,30.0,52.0,189.0,169.0,1.0,359.0,359.0,357.2
7,2021-04,Ingraham,11,304.0,35.0,33.0,192.0,173.0,3.0,368.0,358.0,320.82
8,2021-04,Ingraham,12,294.0,33.0,41.0,183.0,172.0,2.0,357.0,327.0,253.68
5,2021-04,Interagency,4 5 6 7 8,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0
6,2021-04,Interagency,9,10.0,0.0,2.0,5.0,7.0,0.0,12.0,12.0,12.0
7,2021-04,Interagency,10,26.0,1.0,3.0,20.0,10.0,0.0,30.0,30.0,30.0
8,2021-04,Interagency,11,54.0,14.0,16.0,42.0,39.0,1.0,82.0,82.0,81.61
9,2021-04,Interagency,12,148.0,18.0,69.0,136.0,87.0,4.0,227.0,227.0,221.34
5,2021-04,Interagency Open Doors Program,"5 6 7 8 9 1
0",0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
6,2021-04,Interagency Open Doors Program,11,5.0,0.0,2.0,4.0,3.0,0.0,7.0,0.0,0.0
7,2021-04,Interagency Open Doors Program,12,42.0,3.0,14.0,19.0,39.0,1.0,59.0,0.0,0.0
5,2021-04,J. Stanford International,K,49.0,18.0,4.0,28.0,42.0,0.0,70.0,70.0,70.0
6,2021-04,J. Stanford International,1,59.0,17.0,1.0,41.0,35.0,0.0,76.0,76.0,76.0
7,2021-04,J. Stanford International,2,48.0,21.0,6.0,35.0,39.0,0.0,74.0,74.0,74.0
8,2021-04,J. Stanford International,3,76.0,6.0,11.0,34.0,58.0,1.0,93.0,93.0,93.0
9,2021-04,J. Stanford International,4,55.0,4.0,12.0,35.0,36.0,0.0,71.0,71.0,71.0
10,2021-04,J. Stanford International,5,50.0,6.0,9.0,26.0,37.0,0.0,63.0,63.0,63.0
5,2021-04,Jane Addams,6,258.0,34.0,55.0,178.0,156.0,2.0,336.0,336.0,336.0
6,2021-04,Jane Addams,7,288.0,38.0,49.0,188.0,171.0,0.0,359.0,359.0,353.88
7,2021-04,Jane Addams,8,253.0,29.0,44.0,168.0,144.0,4.0,316.0,316.0,313.32
4,2021-04,John Muir,Preschool,9.0,0.0,0.0,5.0,4.0,0.0,9.0,0.0,0.0
5,2021-04,John Muir,K,41.0,24.0,6.0,39.0,31.0,0.0,70.0,70.0,70.0
6,2021-04,John Muir,1,28.0,30.0,7.0,32.0,29.0,0.0,61.0,61.0,61.0
7,2021-04,John Muir,2,39.0,21.0,7.0,32.0,30.0,0.0,62.0,62.0,62.0
8,2021-04,John Muir,3,28.0,19.0,8.0,30.0,21.0,0.0,51.0,51.0,51.0
9,2021-04,John Muir,4,34.0,21.0,6.0,27.0,34.0,0.0,61.0,61.0,61.0
10,2021-04,John Muir,5,30.0,9.0,5.0,15.0,28.0,0.0,43.0,43.0,43.0
5,2021-04,John Rogers,K,26.0,11.0,3.0,14.0,24.0,0.0,38.0,38.0,38.0
6,2021-04,John Rogers,1,41.0,10.0,7.0,23.0,33.0,0.0,56.0,56.0,56.0
7,2021-04,John Rogers,2,38.0,11.0,6.0,27.0,26.0,0.0,53.0,53.0,53.0
8,2021-04,John Rogers,3,28.0,8.0,3.0,24.0,15.0,0.0,39.0,39.0,39.0
9,2021-04,John Rogers,4,39.0,8.0,5.0,28.0,24.0,0.0,52.0,52.0,52.0
10,2021-04,John Rogers,5,36.0,2.0,9.0,29.0,18.0,0.0,47.0,47.0,47.0
4,2021-04,K-8 STEM,Preschool,13.0,0.0,3.0,10.0,6.0,0.0,16.0,0.0,0.0
5,2021-04,K-8 STEM,K,43.0,6.0,4.0,30.0,23.0,0.0,53.0,53.0,53.0
6,2021-04,K-8 STEM,1,35.0,3.0,11.0,26.0,23.0,0.0,49.0,49.0,49.0
7,2021-04,K-8 STEM,2,38.0,9.0,5.0,20.0,31.0,0.0,51.0,51.0,51.0
8,2021-04,K-8 STEM,3,35.0,7.0,8.0,27.0,22.0,0.0,49.0,49.0,49.0
9,2021-04,K-8 STEM,4,39.0,7.0,10.0,32.0,21.0,0.0,53.0,53.0,53.0
10,2021-04,K-8 STEM,5,38.0,6.0,10.0,25.0,28.0,0.0,53.0,53.0,53.0
11,2021-04,K-8 STEM,6,37.0,8.0,14.0,41.0,17.0,0.0,58.0,58.0,58.0
12,2021-04,K-8 STEM,7,57.0,9.0,17.0,52.0,28.0,1.0,81.0,81.0,80.4
13,2021-04,K-8 STEM,8,58.0,5.0,17.0,43.0,37.0,0.0,80.0,80.0,79.62
5,2021-04,Kimball,K,47.0,24.0,12.0,41.0,37.0,0.0,78.0,78.0,78.0
6,2021-04,Kimball,1,41.0,26.0,7.0,28.0,43.0,0.0,71.0,71.0,71.0
7,2021-04,Kimball,2,40.0,21.0,9.0,32.0,35.0,0.0,67.0,67.0,67.0
8,2021-04,Kimball,3,41.0,21.0,17.0,40.0,31.0,0.0,71.0,71.0,71.0
9,2021-04,Kimball,4,37.0,20.0,16.0,31.0,35.0,0.0,66.0,66.0,66.0
10,2021-04,Kimball,5,49.0,12.0,8.0,36.0,31.0,0.0,67.0,67.0,67.0
5,2021-04,LCS Open Doors Program,"5 6 7 8 9 1
0",3.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0
6,2021-04,LCS Open Doors Program,11,16.0,0.0,1.0,8.0,9.0,0.0,17.0,0.0,0.0
7,2021-04,LCS Open Doors Program,12,69.0,6.0,3.0,39.0,33.0,5.0,77.0,0.0,0.0
4,2021-04,Lafayette,Preschool,3.0,0.0,18.0,12.0,8.0,1.0,21.0,0.0,0.0
5,2021-04,Lafayette,K,66.0,3.0,10.0,42.0,37.0,0.0,79.0,79.0,79.0
6,2021-04,Lafayette,1,71.0,6.0,5.0,40.0,42.0,0.0,82.0,82.0,82.0
7,2021-04,Lafayette,2,55.0,2.0,9.0,41.0,25.0,0.0,66.0,66.0,66.0
8,2021-04,Lafayette,3,56.0,2.0,7.0,29.0,35.0,1.0,65.0,65.0,65.0
9,2021-04,Lafayette,4,57.0,8.0,10.0,36.0,37.0,0.0,73.0,73.0,73.0
10,2021-04,Lafayette,5,41.0,1.0,8.0,24.0,24.0,1.0,49.0,49.0,49.0
5,2021-04,Laurelhurst,K,37.0,5.0,3.0,26.0,19.0,0.0,45.0,45.0,45.0
6,2021-04,Laurelhurst,1,30.0,6.0,7.0,20.0,22.0,0.0,42.0,42.0,42.0
7,2021-04,Laurelhurst,2,45.0,5.0,5.0,27.0,28.0,0.0,55.0,55.0,55.0
8,2021-04,Laurelhurst,3,36.0,1.0,9.0,32.0,13.0,0.0,45.0,45.0,45.0
9,2021-04,Laurelhurst,4,28.0,2.0,8.0,16.0,22.0,0.0,38.0,38.0,38.0
10,2021-04,Laurelhurst,5,29.0,2.0,7.0,17.0,21.0,0.0,38.0,38.0,38.0
5,2021-04,Lawton,K,48.0,5.0,6.0,31.0,26.0,0.0,57.0,57.0,57.0
6,2021-04,Lawton,1,53.0,2.0,5.0,31.0,29.0,0.0,60.0,60.0,60.0
7,2021-04,Lawton,2,51.0,5.0,5.0,31.0,30.0,0.0,61.0,61.0,61.0
8,2021-04,Lawton,3,37.0,3.0,14.0,19.0,34.0,0.0,53.0,53.0,53.0
9,2021-04,Lawton,4,38.0,1.0,13.0,28.0,23.0,0.0,51.0,51.0,51.0
10,2021-04,Lawton,5,47.0,0.0,6.0,29.0,24.0,0.0,53.0,53.0,53.0
5,2021-04,Leschi,K,37.0,5.0,1.0,16.0,26.0,1.0,43.0,43.0,43.0
6,2021-04,Leschi,1,50.0,3.0,5.0,30.0,28.0,0.0,58.0,58.0,58.0
7,2021-04,Leschi,2,51.0,13.0,10.0,35.0,36.0,1.0,72.0,72.0,72.0
8,2021-04,Leschi,3,41.0,10.0,8.0,32.0,26.0,0.0,58.0,58.0,58.0
9,2021-04,Leschi,4,47.0,9.0,4.0,31.0,27.0,0.0,58.0,58.0,58.0
10,2021-04,Leschi,5,39.0,9.0,6.0,34.0,20.0,0.0,54.0,54.0,54.0
4,2021-04,Licton Springs K-8,Preschool,5.0,0.0,4.0,6.0,3.0,0.0,9.0,0.0,0.0
5,2021-04,Licton Springs K-8,K,9.0,1.0,1.0,7.0,4.0,0.0,11.0,11.0,11.0
6,2021-04,Licton Springs K-8,1,5.0,5.0,1.0,4.0,6.0,0.0,10.0,10.0,10.0
7,2021-04,Licton Springs K-8,2,7.0,0.0,0.0,5.0,2.0,0.0,7.0,7.0,7.0
8,2021-04,Licton Springs K-8,3,15.0,5.0,3.0,10.0,12.0,1.0,23.0,23.0,23.0
9,2021-04,Licton Springs K-8,4,7.0,2.0,2.0,8.0,3.0,0.0,11.0,11.0,11.0
10,2021-04,Licton Springs K-8,5,10.0,3.0,4.0,6.0,10.0,0.0,16.0,16.0,16.0
11,2021-04,Licton Springs K-8,6,6.0,5.0,7.0,4.0,11.0,0.0,15.0,15.0,15.0
12,2021-04,Licton Springs K-8,7,9.0,1.0,4.0,4.0,10.0,0.0,14.0,14.0,14.0
13,2021-04,Licton Springs K-8,8,6.0,5.0,9.0,9.0,7.0,0.0,16.0,16.0,16.0
5,2021-04,Lincoln,9,357.0,6.0,29.0,203.0,182.0,6.0,391.0,391.0,390.08
6,2021-04,Lincoln,10,353.0,4.0,30.0,214.0,171.0,2.0,387.0,387.0,384.48
7,2021-04,Lincoln,11,168.0,3.0,14.0,107.0,76.0,1.0,184.0,184.0,160.49
4,2021-04,Lowell,Preschool,2.0,0.0,26.0,22.0,6.0,0.0,28.0,0.0,0.0
5,2021-04,Lowell,K,24.0,14.0,12.0,23.0,24.0,0.0,47.0,47.0,47.0
6,2021-04,Lowell,1,35.0,14.0,6.0,25.0,28.0,0.0,53.0,53.0,53.0
7,2021-04,Lowell,2,25.0,11.0,9.0,21.0,21.0,1.0,43.0,43.0,43.0
8,2021-04,Lowell,3,33.0,13.0,11.0,23.0,31.0,0.0,54.0,54.0,54.0
9,2021-04,Lowell,4,19.0,9.0,11.0,21.0,17.0,0.0,38.0,38.0,38.0
10,2021-04,Lowell,5,21.0,6.0,12.0,17.0,19.0,0.0,36.0,36.0,36.0
5,2021-04,Loyal Heights,K,78.0,3.0,6.0,44.0,43.0,0.0,87.0,87.0,87.0
6,2021-04,Loyal Heights,1,77.0,3.0,9.0,50.0,39.0,0.0,89.0,89.0,89.0
7,2021-04,Loyal Heights,2,65.0,2.0,12.0,34.0,45.0,0.0,79.0,79.0,79.0
8,2021-04,Loyal Heights,3,53.0,2.0,11.0,30.0,35.0,0.0,65.0,65.0,65.0
9,2021-04,Loyal Heights,4,57.0,2.0,18.0,34.0,42.0,0.0,76.0,76.0,76.0
10,2021-04,Loyal Heights,5,55.0,0.0,9.0,33.0,31.0,0.0,64.0,64.0,64.0
5,2021-04,Madison,6,290.0,18.0,43.0,188.0,155.0,1.0,344.0,344.0,344.0
6,2021-04,Madison,7,275.0,4.0,51.0,169.0,156.0,1.0,326.0,326.0,324.96
7,2021-04,Madison,8,286.0,12.0,45.0,178.0,162.0,1.0,341.0,341.0,340.25
4,2021-04,Madrona K-8,Preschool,0.0,0.0,9.0,8.0,1.0,0.0,9.0,0.0,0.0
5,2021-04,Madrona K-8,K,31.0,4.0,2.0,17.0,19.0,1.0,37.0,37.0,37.0
6,2021-04,Madrona K-8,1,36.0,6.0,3.0,24.0,21.0,0.0,45.0,45.0,45.0
7,2021-04,Madrona K-8,2,33.0,7.0,2.0,21.0,21.0,0.0,42.0,42.0,42.0
8,2021-04,Madrona K-8,3,35.0,2.0,4.0,19.0,21.0,0.0,40.0,40.0,40.0
9,2021-04,Madrona K-8,4,29.0,9.0,4.0,22.0,19.0,0.0,41.0,41.0,41.0
10,2021-04,Madrona K-8,5,28.0,7.0,2.0,19.0,18.0,0.0,37.0,37.0,37.0
5,2021-04,Magnolia,K,50.0,3.0,2.0,28.0,27.0,0.0,55.0,55.0,55.0
6,2021-04,Magnolia,1,49.0,8.0,5.0,37.0,25.0,0.0,62.0,62.0,62.0
7,2021-04,Magnolia,2,38.0,6.0,5.0,22.0,26.0,0.0,48.0,48.0,48.0
8,2021-04,Magnolia,3,41.0,1.0,5.0,22.0,25.0,0.0,47.0,47.0,47.0
9,2021-04,Magnolia,4,22.0,6.0,9.0,18.0,19.0,0.0,37.0,37.0,37.0
10,2021-04,Magnolia,5,25.0,1.0,7.0,19.0,13.0,1.0,33.0,33.0,33.0
5,2021-04,Maple,K,30.0,30.0,4.0,33.0,29.0,0.0,62.0,62.0,62.0
6,2021-04,Maple,1,46.0,38.0,11.0,53.0,36.0,0.0,89.0,89.0,89.0
7,2021-04,Maple,2,34.0,42.0,5.0,40.0,39.0,0.0,79.0,79.0,79.0
8,2021-04,Maple,3,43.0,33.0,19.0,50.0,37.0,0.0,87.0,87.0,87.0
9,2021-04,Maple,4,55.0,27.0,9.0,51.0,35.0,0.0,86.0,86.0,86.0
10,2021-04,Maple,5,62.0,20.0,13.0,52.0,36.0,0.0,88.0,88.0,88.0
4,2021-04,Martin Luther King Jr,Preschool,17.0,0.0,13.0,16.0,14.0,0.0,30.0,0.0,0.0
5,2021-04,Martin Luther King Jr,K,28.0,21.0,5.0,31.0,21.0,0.0,52.0,52.0,52.0
6,2021-04,Martin Luther King Jr,1,28.0,25.0,6.0,24.0,30.0,0.0,54.0,54.0,54.0
7,2021-04,Martin Luther King Jr,2,20.0,16.0,6.0,24.0,16.0,0.0,40.0,40.0,40.0
8,2021-04,Martin Luther King Jr,3,25.0,7.0,5.0,15.0,21.0,0.0,36.0,36.0,36.0
9,2021-04,Martin Luther King Jr,4,32.0,16.0,7.0,26.0,22.0,0.0,48.0,48.0,48.0
10,2021-04,Martin Luther King Jr,5,25.0,13.0,7.0,23.0,21.0,0.0,44.0,44.0,44.0
5,2021-04,McClure,6,123.0,6.0,22.0,80.0,68.0,2.0,150.0,150.0,150.0
6,2021-04,McClure,7,117.0,5.0,29.0,79.0,70.0,1.0,150.0,150.0,149.77
7,2021-04,McClure,8,132.0,8.0,34.0,85.0,84.0,2.0,171.0,171.0,170.66
5,2021-04,McDonald Intl,K,60.0,15.0,0.0,32.0,43.0,0.0,75.0,75.0,75.0
6,2021-04,McDonald Intl,1,74.0,22.0,3.0,46.0,53.0,0.0,99.0,99.0,99.0
7,2021-04,McDonald Intl,2,72.0,26.0,3.0,48.0,52.0,1.0,101.0,101.0,101.0
8,2021-04,McDonald Intl,3,53.0,10.0,9.0,32.0,37.0,0.0,69.0,69.0,69.0
9,2021-04,McDonald Intl,4,54.0,4.0,11.0,25.0,42.0,0.0,67.0,67.0,67.0
10,2021-04,McDonald Intl,5,48.0,2.0,4.0,26.0,28.0,0.0,54.0,54.0,54.0
5,2021-04,McGilvra,K,40.0,5.0,2.0,27.0,19.0,0.0,46.0,46.0,46.0
6,2021-04,McGilvra,1,42.0,2.0,5.0,22.0,27.0,0.0,49.0,49.0,49.0
7,2021-04,McGilvra,2,43.0,0.0,4.0,23.0,24.0,0.0,47.0,47.0,47.0
8,2021-04,McGilvra,3,18.0,1.0,2.0,11.0,10.0,0.0,21.0,21.0,21.0
9,2021-04,McGilvra,4,20.0,0.0,6.0,10.0,16.0,0.0,26.0,26.0,26.0
10,2021-04,McGilvra,5,18.0,1.0,6.0,8.0,17.0,0.0,25.0,25.0,25.0
5,2021-04,Meany,6,111.0,19.0,30.0,86.0,72.0,1.0,159.0,159.0,159.0
6,2021-04,Meany,7,124.0,12.0,25.0,85.0,71.0,2.0,158.0,158.0,157.18
7,2021-04,Meany,8,132.0,10.0,28.0,89.0,78.0,1.0,168.0,168.0,167.45
5,2021-04,Mercer International,6,274.0,83.0,60.0,195.0,199.0,2.0,396.0,396.0,396.0
6,2021-04,Mercer International,7,291.0,60.0,47.0,208.0,167.0,0.0,375.0,375.0,373.18
7,2021-04,Mercer International,8,304.0,67.0,46.0,209.0,185.0,0.0,394.0,394.0,392.4
5,2021-04,Middle College,9,20.0,1.0,1.0,9.0,13.0,0.0,22.0,22.0,22.0
6,2021-04,Middle College,10,31.0,1.0,3.0,12.0,22.0,0.0,34.0,34.0,33.84
7,2021-04,Middle College,11,7.0,1.0,6.0,6.0,7.0,0.0,13.0,13.0,9.44
8,2021-04,Middle College,12,8.0,1.0,4.0,6.0,5.0,1.0,12.0,12.0,9.63
5,2021-04,Montlake,K,38.0,2.0,1.0,16.0,25.0,0.0,41.0,41.0,41.0
6,2021-04,Montlake,1,36.0,2.0,3.0,21.0,20.0,0.0,41.0,41.0,41.0
7,2021-04,Montlake,2,39.0,1.0,2.0,15.0,27.0,0.0,42.0,42.0,42.0
8,2021-04,Montlake,3,37.0,0.0,6.0,21.0,22.0,0.0,43.0,43.0,43.0
9,2021-04,Montlake,4,28.0,1.0,4.0,25.0,8.0,0.0,33.0,33.0,33.0
10,2021-04,Montlake,5,27.0,1.0,3.0,21.0,10.0,0.0,31.0,31.0,31.0
5,2021-04,NOVA,9,32.0,3.0,12.0,20.0,23.0,3.0,46.0,46.0,46.0
6,2021-04,NOVA,10,39.0,0.0,9.0,17.0,28.0,3.0,48.0,48.0,48.0
7,2021-04,NOVA,11,54.0,1.0,15.0,31.0,34.0,4.0,69.0,69.0,69.0
8,2021-04,NOVA,12,50.0,0.0,13.0,24.0,37.0,2.0,63.0,63.0,62.08
5,2021-04,Nathan Hale,9,204.0,27.0,53.0,146.0,122.0,3.0,271.0,271.0,268.99
6,2021-04,Nathan Hale,10,220.0,24.0,29.0,143.0,125.0,2.0,270.0,270.0,269.64
7,2021-04,Nathan Hale,11,245.0,18.0,34.0,156.0,134.0,3.0,293.0,272.0,248.02
8,2021-04,Nathan Hale,12,218.0,23.0,46.0,141.0,137.0,0.0,278.0,245.0,209.8
4,2021-04,Non-Public Agencies,Preschool,1.0,0.0,13.0,4.0,10.0,0.0,14.0,0.0,0.0
5,2021-04,Non-Public Agencies,K,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
6,2021-04,Non-Public Agencies,1,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0
7,2021-04,Non-Public Agencies,2,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0
8,2021-04,Non-Public Agencies,3,0.0,0.0,4.0,3.0,1.0,0.0,4.0,4.0,4.0
9,2021-04,Non-Public Agencies,4,2.0,0.0,1.0,3.0,0.0,0.0,3.0,3.0,3.0
10,2021-04,Non-Public Agencies,5,0.0,1.0,6.0,3.0,3.0,0.0,6.0,6.0,6.0
11,2021-04,Non-Public Agencies,6,0.0,0.0,2.0,0.0,2.0,0.0,2.0,2.0,2.0
12,2021-04,Non-Public Agencies,7,0.0,0.0,3.0,2.0,1.0,0.0,3.0,3.0,3.0
